latitude,longitude,acq_date,PREDICTED
33.6698,-117.4509,8/7/2018,77.09171913
33.6788,-117.4487,8/7/2018,74.38108635
33.6733,-117.4728,8/7/2018,70.82725034
33.6716,-117.4621,8/7/2018,121.6588101
33.6964,-117.5014,8/7/2018,75.00921866
33.6702,-117.4882,8/7/2018,105.3709528
33.706,-117.4827,8/7/2018,65.68856401
33.7043,-117.4641,8/7/2018,62.1195684
33.6922,-117.4644,8/7/2018,98.3018743
33.6905,-117.4462,8/7/2018,80.42607076
33.6803,-117.4667,8/7/2018,86.07821329
33.662,-117.4739,8/7/2018,67.53727977
33.6665,-117.4484,8/7/2018,65.1559444
33.6564,-117.4699,8/7/2018,60.73670838
33.6682,-117.4668,8/7/2018,125.0243051
33.6824,-117.489,8/7/2018,71.4183347
33.6758,-117.5021,8/7/2018,88.96185003
33.6778,-117.4628,8/7/2018,87.32359661
33.6946,-117.4643,8/7/2018,72.52114548
33.6591,-117.5004,8/7/2018,64.54049138
33.6807,-117.5061,8/7/2018,73.04833052
33.6992,-117.4708,8/7/2018,68.19016977
33.6611,-117.4618,8/7/2018,80.52794775
33.6737,-117.4885,8/7/2018,69.88064176
33.6987,-117.5007,8/8/2018,93.62438414
33.6852,-117.4576,8/8/2018,114.8731377
33.7144,-117.4858,8/8/2018,91.00864104
33.673,-117.4352,8/8/2018,67.05466144
33.6686,-117.4694,8/8/2018,69.40548756
33.6631,-117.477,8/8/2018,62.798957
33.687,-117.4464,8/8/2018,91.91527906
33.6701,-117.4913,8/8/2018,64.4472656
33.6666,-117.4533,8/8/2018,61.82732437
33.6647,-117.4648,8/8/2018,73.59206144
33.6777,-117.4445,8/8/2018,63.46404184
33.6759,-117.4555,8/8/2018,102.9050199
33.674,-117.4671,8/8/2018,111.2647719
33.6721,-117.4792,8/8/2018,62.52652613
33.7,-117.4855,8/8/2018,86.20941099
33.7064,-117.4807,8/8/2018,110.3240647
33.7045,-117.4923,8/8/2018,110.3653094
33.7019,-117.4736,8/8/2018,92.01383625
33.7037,-117.4626,8/8/2018,61.18995555
33.6926,-117.4716,8/8/2018,79.55250223
33.6945,-117.4601,8/8/2018,121.1883955
33.6963,-117.4488,8/8/2018,105.1279898
33.6832,-117.4698,8/8/2018,66.42130484
33.6946,-117.4216,8/8/2018,84.77062577
33.7074,-117.4718,8/8/2018,83.19805486
33.7194,-117.5192,8/8/2018,80.2370598
33.7217,-117.4581,8/8/2018,72.8456682
33.7341,-117.5071,8/8/2018,69.63834145
